Ano;Países;Código ISIC Classe;Descrição ISIC Classe;Valor US$ FOB;chave;atividade_cod;atividade_desc;cnae2_4cod;cnae2_cod;isic4_sec;isic4_cod; isic4_desc;cnae2_desc;brl_usd;Valor RS$ FOB
2013;Estados Unidos;2825;Fabricação de máquinas para processamento de alimentos, bebidas e tabaco;8332073;28;2800;Fabricação de máquinas e equipamentos mecânicos;2811;28;C;28;FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS;2.1576;17977280.7048
2013;Estados Unidos;1311;Preparação e fiação de fibras têxteis;8140723;13;1300;Fabricação de produtos têxteis;1311;13;C;13;FABRICACIÓN DE PRODUCTOS TEXTILES;FABRICAÇÃO DE PRODUTOS TÊXTEIS;2.1576;17564423.9448
2013;Estados Unidos;1061;Fabricação de produtos de moagem de grãos;7782886;106;1093;Outros produtos alimentares;1061;106;C;106;Elaboración de productos de molinería, almidones y productos derivados del almidón;Moagem, fabricação de produtos amiláceos e de alimentos para animais;2.1576;16792354.8336
2013;Estados Unidos;2826;Fabricação de máquinas para produção de têxteis, vestuário e couro;7252086;28;2800;Fabricação de máquinas e equipamentos mecânicos;2811;28;C;28;FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS;2.1576;15647100.7536
2013;Estados Unidos;1312;Tecelagem de têxteis;6837693;13;1300;Fabricação de produtos têxteis;1311;13;C;13;FABRICACIÓN DE PRODUCTOS TEXTILES;FABRICAÇÃO DE PRODUTOS TÊXTEIS;2.1576;14753006.4168
2013;Estados Unidos;1702;Fabricação de papel e cartão canelados e de embalagens de papel e cartão;6252559;17;1700;Fabricação de celulose, papel e produtos de papel;1710;17;C;17;FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL;2.1576;13490521.2984
2013;Estados Unidos;2920;"Fabricação de carroçarias para veículos automotores; fabricação de reboques e semi-reboques";5952552;292;2991;Fabricação de automóveis, caminhões e ônibus, exceto peças;2930;293;C;292;"Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques";Fabricação de cabines, carrocerias e reboques para veículos automotores;2.1576;12843226.1952
2013;Estados Unidos;2750;Fabricação de eletrodomésticos;5947100;27;2700;Fabricação de máquinas e equipamentos elétricos;2710;27;C;27;FABRICACIÓN DE EQUIPO ELÉCTRICO;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS;2.1576;12831462.959999999
2013;Estados Unidos;1392;Fabricação de artigos têxteis confeccionados, exceto vestuário;5945665;13;1300;Fabricação de produtos têxteis;1311;13;C;13;FABRICACIÓN DE PRODUCTOS TEXTILES;FABRICAÇÃO DE PRODUTOS TÊXTEIS;2.1576;12828366.804
2013;Estados Unidos;0121;Cultivo de uvas;5673245;012;0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0111;011;A;012;Cultivo de plantas perennes;Produção de lavouras temporárias;2.1576;12240593.412
2013;Estados Unidos;0130;Cultivo de plantas;5155388;013;0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0141;014;A;013;Propagación de plantas;Produção de sementes e mudas certificadas;2.1576;11123265.1488
2013;Estados Unidos;1391;Fabricação de tecidos de malha;4834121;13;1300;Fabricação de produtos têxteis;1311;13;C;13;FABRICACIÓN DE PRODUCTOS TEXTILES;FABRICAÇÃO DE PRODUTOS TÊXTEIS;2.1576;10430099.4696
